UnixTimeStamp, PupilDiameterRight, PupilDiameterLeft, PupilPositionRight(X), PupilPositionRight(Y), PupilPositionLeft(X), PupilPositionLeft(Y), EyeOpenRight, EyeOpenLeft, GazeOriginRight(X), GazeOriginRight(Y), GazeOriginRight(Z), GazeOriginLeft(X), GazeOriginLeft(Y), GazeOriginLeft(Z), GazeDirectionRight(X), GazeDirectionRight(Y), GazeDirectionRight(Z), GazeDirectionLeft(X), GazeDirectionLeft(Y), GazeDirectionLeft(Z), CurrentFocusObject
BEGIN1
1609801410, -1, -1, -1, -1, -1, -1, 0, 0.02370018, -29.88985, 8.750748, -56.50198, 39.23068, 8.98999, -49.41818, 0, 0, 0, 0, 0, 0, Nothing
1609801410, -1, -1, -1, -1, -1, -1, 0, 0, -29.88985, 8.750748, -56.50198, 39.23068, 8.98999, -49.41818, 0, 0, 0, 0, 0, 0, Nothing
1609801410, -1, -1, -1, -1, -1, -1, 0, 0.01407914, -29.88985, 8.750748, -56.50198, 39.23068, 8.98999, -49.41818, 0, 0, 0, 0, 0, 0, Nothing
1609801410, -1, -1, -1, -1, -1, -1, 0, 0.007039864, -29.88985, 8.750748, -56.50198, 39.23068, 8.98999, -49.41818, 0, 0, 0, 0, 0, 0, Nothing
1609801410, -1, -1, -1, -1, -1, -1, 0, 0.04298672, -29.88985, 8.750748, -56.50198, 39.23068, 8.98999, -49.41818, 0, 0, 0, 0, 0, 0, Nothing
1609801410, -1, -1, -1, -1, -1, -1, 0, 0.03445096, -29.88985, 8.750748, -56.50198, 39.23068, 8.98999, -49.41818, 0, 0, 0, 0, 0, 0, Nothing
1609801410, -1, -1, -1, -1, -1, -1, 0, 0.03247479, -29.88985, 8.750748, -56.50198, 39.23068, 8.98999, -49.41818, 0, 0, 0, 0, 0, 0, Nothing
1609801410, -1, -1, -1, -1, -1, -1, 0, 0.03662675, -29.88985, 8.750748, -56.50198, 39.23068, 8.98999, -49.41818, 0, 0, 0, 0, 0, 0, Nothing
1609801410, -1, -1, -1, -1, -1, -1, 0, 0, -29.88985, 8.750748, -56.50198, 39.23068, 8.98999, -49.41818, 0, 0, 0, 0, 0, 0, Nothing
1609801410, -1, -1, -1, -1, -1, -1, 0, 0, -29.88985, 8.750748, -56.50198, 39.23068, 8.98999, -49.41818, 0, 0, 0, 0, 0, 0, Nothing
1609801410, -1, -1, -1, -1, -1, -1, 0, 0, -29.88985, 8.750748, -56.50198, 39.23068, 8.98999, -49.41818, 0, 0, 0, 0, 0, 0, Nothing
1609801410, -1, -1, -1, -1, -1, -1, 0, 0, -29.88985, 8.750748, -56.50198, 39.23068, 8.98999, -49.41818, 0, 0, 0, 0, 0, 0, Nothing
1609801410, -1, -1, -1, -1, -1, -1, 0, 0, -29.88985, 8.750748, -56.50198, 39.23068, 9.013031, -49.41818, 0, 0, 0, 0, 0, 0, Nothing
1609801410, -1, -1, -1, -1, -1, -1, 0, 0, -29.88985, 8.750748, -56.50198, 39.23068, 9.013031, -49.41818, 0, 0, 0, 0, 0, 0, Nothing
1609801410, -1, -1, -1, -1, -1, -1, 0, 0, -29.88985, 8.750748, -56.50198, 39.23068, 9.013031, -49.41818, 0, 0, 0, 0, 0, 0, Nothing
1609801410, -1, -1, -1, -1, -1, -1, 0, 0, -29.88985, 8.750748, -56.50198, 39.23068, 9.013031, -49.41818, 0, 0, 0, 0, 0, 0, Nothing
1609801410, -1, -1, -1, -1, -1, -1, 0, 0, -29.88985, 8.750748, -56.50198, 39.23068, 9.013031, -49.41818, 0, 0, 0, 0, 0, 0, Nothing
1609801410, -1, -1, -1, -1, -1, -1, 0, 0, -29.88985, 8.750748, -56.50198, 39.23068, 9.013031, -49.41818, 0, 0, 0, 0, 0, 0, Nothing
1609801410, -1, -1, -1, -1, -1, -1, 0, 0, -29.88985, 8.750748, -56.50198, 39.23068, 9.013031, -49.41818, 0, 0, 0, 0, 0, 0, Nothing
1609801410, -1, -1, -1, -1, -1, -1, 0, 0, -29.88985, 8.750748, -56.50198, 39.23068, 9.013031, -49.41818, 0, 0, 0, 0, 0, 0, Nothing
